2024-11-21 19:29:49,468 INFO    MainThread:87172 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-21 19:29:49,469 INFO    MainThread:87172 [wandb_setup.py:_flush():79] Configure stats pid to 87172
2024-11-21 19:29:49,469 INFO    MainThread:87172 [wandb_setup.py:_flush():79] Loading settings from /Users/aabdelre/.config/wandb/settings
2024-11-21 19:29:49,469 INFO    MainThread:87172 [wandb_setup.py:_flush():79] Loading settings from /Users/aabdelre/Desktop/School/DL/project3/TranslationModel/wandb/settings
2024-11-21 19:29:49,469 INFO    MainThread:87172 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-21 19:29:49,469 INFO    MainThread:87172 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-21 19:29:49,469 INFO    MainThread:87172 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'run_model.py', 'program_abspath': '/Users/aabdelre/Desktop/School/DL/project3/TranslationModel/run_model.py', 'program': '/Users/aabdelre/Desktop/School/DL/project3/TranslationModel/run_model.py'}
2024-11-21 19:29:49,470 INFO    MainThread:87172 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-21 19:29:49,470 INFO    MainThread:87172 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-21 19:29:49,470 INFO    MainThread:87172 [wandb_init.py:_log_setup():533] Logging user logs to ./wandb/run-20241121_192949-sds5rn1p/logs/debug.log
2024-11-21 19:29:49,470 INFO    MainThread:87172 [wandb_init.py:_log_setup():534] Logging internal logs to ./wandb/run-20241121_192949-sds5rn1p/logs/debug-internal.log
2024-11-21 19:29:49,470 INFO    MainThread:87172 [wandb_init.py:init():619] calling init triggers
2024-11-21 19:29:49,471 INFO    MainThread:87172 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-21 19:29:49,471 INFO    MainThread:87172 [wandb_init.py:init():669] starting backend
2024-11-21 19:29:49,471 INFO    MainThread:87172 [wandb_init.py:init():673] sending inform_init request
2024-11-21 19:29:49,473 INFO    MainThread:87172 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-21 19:29:49,473 INFO    MainThread:87172 [wandb_init.py:init():686] backend started and connected
2024-11-21 19:29:49,480 INFO    MainThread:87172 [wandb_init.py:init():781] updated telemetry
2024-11-21 19:29:49,505 INFO    MainThread:87172 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-21 19:29:49,883 INFO    MainThread:87172 [wandb_init.py:init():867] starting run threads in backend
2024-11-21 19:29:49,921 INFO    MainThread:87172 [wandb_run.py:_console_start():2456] atexit reg
2024-11-21 19:29:49,921 INFO    MainThread:87172 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-21 19:29:49,921 INFO    MainThread:87172 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-21 19:29:49,921 INFO    MainThread:87172 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-21 19:29:49,922 INFO    MainThread:87172 [wandb_init.py:init():911] run started, returning control to user process
2024-11-21 19:43:41,946 WARNING MsgRouterThr:87172 [router.py:message_loop():75] message_loop has been closed
